Well,528/20,590/20
A1,1381
B1,1336
C1,1322
D1,1283
E1,1260
F1,1255
G1,0
H1,2
A2,1239
B2,1286
C2,1
D2,1
E2,3
F2,1
G2,1
H2,1
A3,1229
B3,1216
C3,13
D3,1
E3,0
F3,1
G3,0
H3,1
A4,4723
B4,10570
C4,3091
D4,3162
E4,10611
F4,16327
G4,1
H4,1
A5,1411
B5,1365
C5,0
D5,0
E5,0
F5,1
G5,1
H5,1
A6,6457
B6,2396
C6,0
D6,1
E6,1
F6,2
G6,2
H6,2
A7,9469
B7,19209
C7,5348
D7,5344
E7,20355
F7,29468
G7,2
H7,0
A8,1434
B8,1494
C8,0
D8,1
E8,1
F8,1
G8,1
H8,1
A9,13238
B9,4320
C9,1
D9,0
E9,1
F9,0
G9,0
H9,0
A10,53
B10,0
C10,0
D10,1
E10,1
F10,2
G10,1
H10,2
A11,0
B11,0
C11,1
D11,0
E11,0
F11,5
G11,2
H11,3
A12,2
B12,0
C12,3
D12,0
E12,0
F12,1
G12,1
H12,1

